,키워드,빈도
8,CGV,6
10,P-CBO,5
110,회사채,4
87,지원,4
21,극장,4
54,신청,3
42,사태,3
107,프로그램,3
99,코로나19,3
26,기업,3
9,CJ,3
70,임차료,2
18,관계자,2
56,영화,2
79,정부,2
82,조달,2
35,발행,2
59,영화사들,2
63,운영,2
16,관객,2
105,판매,2
97,코로,1
69,임금삭감,1
77,전산망,1
76,전년,1
75,전국,1
74,저금리,1
73,자금조달,1
72,자금,1
71,자구책,1
68,인건비,1
78,절반,1
67,유예,1
106,프라이머리,1
66,위원회,1
108,피해자,1
65,위기,1
64,운영자금,1
109,확인,1
104,티켓,1
103,투자,1
96,추후,1
80,정상화,1
98,코로나,1
95,추락,1
94,최대,1
93,채권,1
92,차지,1
91,진흥,1
90,직영,1
89,직결,1
62,요청,1
100,코로나바이러스,1
86,지급,1
85,중단,1
84,중견기업,1
101,타개,1
83,조치,1
102,통합,1
81,제도,1
88,직격탄,1
0,1000억,1
61,영화생태계,1
31,동기간,1
29,대기업,1
28,담보,1
27,다음달,1
25,기관투자가들,1
24,급감,1
23,금융시장,1
22,금액,1
20,규모,1
19,관리비,1
17,관객수,1
15,공적보증기관,1
14,고정비,1
13,경영난,1
12,감염증,1
11,감소,1
7,77%,1
6,76%,1
5,5000억,1
4,3월,1
3,30%,1
2,2월,1
30,대비,1
32,등급,1
60,영화산업,1
33,마련,1
58,영화사,1
57,영화관,1
1,19일,1
53,신종,1
52,신용보증기금,1
51,신용등급,1
50,신용,1
49,시행,1
48,시장,1
47,시작,1
46,손실,1
45,선정,1
44,생존,1
43,산업,1
41,사실,1
40,분배,1
39,부증,1
38,보증,1
37,보류,1
36,방식,1
34,매출,1
55,여파,1
