,키워드,빈도
30,사은품,13
52,인터넷,7
63,지급,7
11,가입,7
78,펭귄통신,5
33,설치,5
23,당일,4
54,인터넷비교사이트,4
83,현금,4
64,지원,4
50,이벤트,4
69,최대,3
17,고객,3
77,패널티,2
70,최소,2
32,상품,2
74,통신사,2
42,영업,2
68,초과,2
43,영업점,2
27,방문자,2
20,금액,2
19,공식,2
1,15%,2
59,적용,2
9,SK,2
7,LG,2
6,KT,2
86,혜택,2
66,진행,1
61,정지,1
62,준수,1
60,전망,1
58,적발,1
57,일평균,1
56,일주일,1
65,지인,1
0,10만,1
67,차별,1
71,추가,1
72,추천,1
73,카페,1
75,통신사업자,1
76,파격적,1
79,평균,1
80,하한,1
81,한경닷컴,1
82,한국정보통신진흥협회,1
84,현금사은품,1
85,현금지원,1
87,호평,1
88,활동,1
89,회원,1
55,인터넷설치,1
45,원인,1
53,인터넷가입,1
51,인기,1
24,대비,1
22,네티즌,1
21,네이버,1
18,고시,1
16,경품고시제,1
15,경품,1
14,경로,1
13,결합할인,1
12,감안,1
10,가량,1
8,LG헬로비전,1
5,KAIT,1
4,IPTV,1
3,2018년,1
2,15만,1
25,동일,1
26,방문,1
28,비교,1
40,신뢰도,1
49,이름,1
48,의미,1
47,유선,1
46,월청구금액,1
44,운영,1
41,업체,1
39,시행,1
29,사실,1
38,시장,1
37,승인,1
36,수령,1
35,소요,1
34,센터,1
31,사은품금액,1
90,후기,1
