,키워드,빈도
70,사장,9
63,보수,8
66,부회장,8
74,삼성전자,7
59,반도체,6
104,전년,5
72,삼성,4
12,25억,3
99,임원,3
86,업황,3
84,악화,3
67,비교,3
0,10억,3
8,2018년,3
26,LG,2
50,김기남,2
52,대비,2
92,원대,2
54,디스플레이,2
87,연봉,2
107,전반적,2
4,16억,2
109,전자업,2
33,SK하이닉스,2
32,SK,2
65,부품,2
96,이석희,2
121,하이닉스,2
125,회장,2
7,1조,2
80,수장들,2
68,사업,2
79,수장,2
119,토막,2
122,한상범,2
90,영업적자,1
93,월급봉투,1
77,샐러리맨,1
91,원가량,1
81,수준,1
89,영업이익,1
88,연봉킹,1
82,스마트폰,1
78,소득,1
85,업계,1
94,유명,1
83,실적,1
5,18억,1
100,임원들,1
95,이노텍,1
111,정도,1
124,확인,1
123,홍원표,1
120,투톱,1
118,최태원,1
117,초격차,1
116,체제,1
115,지급,1
114,종합,1
113,조성진,1
112,정철동,1
110,절반,1
97,이윤태,1
108,전영현,1
106,전반,1
105,전문,1
2,13억,1
103,적자,1
102,저서,1
101,자리,1
75,삼성종합기술원,1
3,15억,1
98,이재용,1
76,상여,1
13,27억,1
6,1억,1
73,삼성전기,1
40,계열사,1
39,경영인,1
38,경영,1
37,감소폭,1
36,감소,1
35,가전,1
34,TV,1
31,SDS,1
30,SDI,1
29,LG전자,1
28,LG디스플레이,1
27,LGD,1
25,DS부문장,1
24,8%,1
23,70억,1
22,46억,1
21,45억,1
20,3조,1
19,34억,1
18,34%,1
17,33억,1
16,30억,1
15,2억,1
41,고동진,1
42,공시,1
43,권봉석,1
11,24%가량,1
71,삭감,1
14,28억,1
69,사업부,1
9,2019년,1
10,23억,1
64,부진,1
1,11억,1
62,보릿고개,1
61,보고서,1
60,반토막,1
58,반납,1
44,권오현,1
57,메모리,1
56,매출액,1
55,만큼,1
53,대표,1
51,김현석,1
49,기타,1
48,기간,1
47,급여,1
46,근로,1
45,그룹,1
126,희비,1
