,키워드,빈도
509,삼성전자,128
612,실적,74
738,이익,61
669,영업,59
413,매출,59
670,영업이익,57
442,반도체,52
871,증가,42
785,전년,36
332,기록,35
945,코로나19,32
367,대비,32
896,차량,29
585,스마트폰,27
497,사업,26
221,TV,25
598,시장,25
243,감소,25
1006,하락,24
288,공개,24
790,전망,23
765,잠정,23
573,수요,23
250,개선,22
673,영향,22
842,주가,21
234,가전,21
879,지난,20
727,이날,20
514,상승,18
478,분기,17
392,디스플레이,17
394,디지털,17
110,4분기,16
228,가격,16
416,메모리,15
1057,환율,15
660,연간,15
927,출시,15
700,원대,15
363,달러,14
204,LG전자,14
336,기준,14
96,3분기,14
892,집계,14
61,25.7%,14
600,시총,13
384,동기,13
201,LED,13
1009,하만,13
296,공시,12
981,판매,12
40,1조,12
677,예상,12
894,집콕,12
324,급등,12
694,운전자,11
923,추정,11
433,미니,11
548,세계,11
163,8만,11
643,업계,11
826,제품,11
541,설명,10
917,최대,10
507,삼성,10
232,가량,10
537,선방,10
578,수준,10
257,거래,10
468,보행자,10
6,1.87%,10
874,증권가,10
98,3조,9
799,전자,9
663,연구원,9
657,역대,9
193,IM,9
172,9만,9
631,애플,9
992,평가,9
253,갤럭시,9
671,영업익,9
76,2조,9
703,원화,9
1031,현대차,9
432,미국,9
595,시리즈,9
780,적용,9
414,매출액,9
175,9조,9
1047,확대,8
1049,확산,8
580,수치,8
212,QLED,8
845,주력,8
94,36조,8
229,가능,8
496,사상,8
126,5G,8
944,코로나,8
419,모니터링,8
328,기간,8
967,통신,8
515,상승세,7
165,8일,7
422,모바일,7
325,급락,7
111,4조,7
136,61조,7
564,소폭,7
648,업황,7
656,여파,7
931,카메라,7
617,아이폰,7
1039,호실적,7
91,35조,7
988,펜트업,7
729,이동,7
796,전방,7
685,외국인,7
914,최고,7
920,추가,6
156,8.9%,6
565,속도,6
940,컨센서스,6
330,기기,6
331,기대감,6
44,2.54%,6
277,경험,6
246,강세,6
946,코로나바이러스,6
951,콕핏,6
248,강화,6
375,대형주,6
953,콘텐츠,6
245,감염증,6
963,탑재,6
977,특징,6
1060,활용,6
177,CE,6
859,주행,6
868,중심,6
850,주변,6
607,신종,6
69,29.46%,6
385,둔화,6
66,27.13%,6
491,비중,6
411,매수,6
489,비용,6
803,전장,6
57,236조,6
230,가능성,5
974,트렌드,5
498,사업부,5
980,파운드리,5
655,엘지전자,5
998,폭발,5
640,어닝,5
1046,화웨이,5
611,실시간,5
1066,효과,5
961,탑승자,5
756,자동차,5
721,육박,5
766,잠정실적,5
771,장중,5
773,장치,5
788,전달,5
320,글로벌,5
888,직전,5
883,지속,5
407,마케팅,5
813,정보,5
873,증권,5
819,제시,5
597,시작,5
0,,5
535,서프라이즈,5
15,10~12월,5
70,29.5%,5
25,12조,5
549,세계적,4
242,감상,4
698,원격,4
742,인식,4
83,30%,4
901,차지,4
1026,헬스,4
668,영상,4
444,반등,4
237,가치,4
761,자율,4
789,전략,4
544,성장,4
500,사용,4
661,연결,4
559,소비자가전,4
438,민주당,4
1041,호조,4
487,비수기,4
893,집중,4
67,27조,4
484,비교,4
676,예년,4
301,관계자,4
793,전문가들,4
681,예측,4
682,온라인,4
983,패널,4
1004,플레이,4
307,구조,4
1007,하루,4
747,인포테인먼트,4
475,부진,4
878,증시,4
311,국가,4
480,분야,4
890,진입,4
875,증권사,4
483,블루웨이브,4
763,자회사,4
38,1분기,4
520,상태,4
710,유가,4
523,상황,4
645,업무,4
391,디스,4
646,업체,4
576,수익성,4
594,시대,4
49,2019년,4
418,메시지,4
531,서비스,4
1068,후방,4
405,마감,4
588,스튜디오,4
202,LG,4
