,키워드,빈도
74,평잔,8
40,상품권,4
51,유지,4
53,이벤트,4
72,통장,4
20,고객,4
18,가입,3
45,신규,3
64,증정,3
27,금액,3
65,진행,3
14,SC,3
58,제공,2
22,고금리,2
56,잔액,2
29,기준,2
37,봄봄이벤트,2
31,대상,2
59,제일마이줌,2
21,고객들,2
69,추가,2
19,거래,2
35,모바일,2
16,SC제일은행,2
15,SC제일마이줌통장,2
13,LG,2
11,5000만,2
73,파킹통장,2
47,신세계상품권,2
61,조건,2
57,잠깐,1
55,입출금,1
54,인치,1
52,응모,1
67,청정기,1
60,제일은행,1
62,주차,1
63,준비,1
66,참여,1
49,예금,1
68,최대,1
70,추첨,1
71,충족,1
75,퓨리케어,1
76,프리미엄,1
77,하루,1
78,혜택,1
79,호응,1
50,올레드,1
0,0.6%,1
48,여유자금,1
25,교환권,1
2,10만,1
3,1등,1
4,1회,1
5,23일,1
6,29일,1
7,2등,1
8,30만,1
9,3개월,1
10,3등,1
12,50만,1
17,TV,1
23,공기,1
24,교환,1
26,금리,1
46,신세계,1
28,기념,1
30,기회,1
32,대표적,1
33,동시,1
34,마스크,1
36,배순창,1
38,부장,1
39,상품,1
1,100만,1
41,설정금액,1
42,셀리턴,1
43,수신,1
44,순증,1
80,횟수,1
